uuid	odkid	icode	psu	hhid	agreement	ict1_a	ict1_b	ict2_	ict2_96z	ict3_	ict4	ict5	ict6_	ict6_96z	ict2_1	ict2_2	ict2_3	ict2_4	ict2_5	ict2_6	ict2_7	ict2_96	ict3_1	ict3_2	ict3_3	ict3_4	ict3_5	ict6_1	ict6_2	ict6_3	ict6_4	ict6_5	ict6_6	ict6_7	ict6_8	ict6_9	ict6_10	ict6_96	region	urban	begin_time	dur_ict	corrected_dur_ict	year	month	day	date	start_date	end_date	time	start_time	end_time
20241022	uuid:01dc6570-232a-4f0f-8bc9-1f40e6b90901	1715	29260315	4	Yes	Yes	Yes			4 1 2	Yes, but not all of them	Every day	1 2 3 4 5 6 7		0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	Kakheti	Rural	2024-10-22T12:40:00.000+04:00	1	1	2024	10	22	2024/10/22	2024/10/22	2024/10/22	2024/10/22 19:38:35	2024/10/22 12:36:48	2024/10/22 13:45:23
20241011	uuid:02117b1d-a688-4a23-a1d5-4f1be4d4d0db	1513	38380263	9	Yes	No	Yes			4	Yes all of them	Every day	1 2 3 4 5		0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	Samegrelo-Zemo Svaneti	Rural	2024-10-11T15:42:00.000+04:00	1	1	2024	10	12	2024/10/12	2024/10/11	2024/10/11	2024/10/12 10:14:51	2024/10/11 15:39:56	2024/10/11 16:58:23
20240921	uuid:022062e5-24e1-43e2-b409-b2b0703595e5	1203	41110275	4	Yes	Yes	Yes			2 4 5	Yes all of them	Every day	1 2 3 4 5 6		0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	Samtskhe–Javakheti	Urban	2024-09-21T16:51:00.000+04:00	0	0	2024	9	21	2024/09/21	2024/09/21	2024/09/21	2024/09/21 19:10:21	2024/09/21 16:49:34	2024/09/21 17:37:16
20240917	uuid:02248f81-29de-4baa-b7f8-455f8156ca07	1318	26270152	6	Yes	Yes	Yes			4	Yes, but not all of them	Every day	2 4		0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	Imereti	Urban	2024-09-17T14:33:00.000+04:00	0	0	2024	9	17	2024/09/17	2024/09/17	2024/09/17	2024/09/17 20:56:38	2024/09/17 14:31:45	2024/09/17 15:14:29
20240914	uuid:028964ea-7b56-4c16-8068-30be052de07f	1139	47240513	2	Yes	Yes	Yes			4 1	Yes, but not all of them	Every day	3 4 5		0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	Shida Kartli Region	Rural	2024-09-14T17:01:00.000+04:00	1	1	2024	9	16	2024/09/16	2024/09/07	2024/09/14	2024/09/16 22:16:10	2024/09/07 17:04:29	2024/09/14 17:47:07
20240919	uuid:03262988-f783-407b-88ce-225e5e039a4f	1513	38340256	3	Yes	No	Yes			4	Yes all of them	A few times a week	4 2		0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	Samegrelo-Zemo Svaneti	Rural	2024-09-19T10:57:00.000+04:00	27	27	2024	9	19	2024/09/19	2024/09/19	2024/09/19	2024/09/19 21:28:14	2024/09/19 10:55:24	2024/09/19 12:36:07
20241010	uuid:036ac3f7-3d26-4e47-a5f8-e961142c8fe1	1307	26110435	11	Yes	Yes	Yes			1 4	Yes all of them	Every day	2		0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	Imereti	Urban	2024-10-10T15:14:00.000+04:00	1	1	2024	10	10	2024/10/10	2024/10/10	2024/10/10	2024/10/10 19:40:01	2024/10/10 15:12:51	2024/10/10 15:51:48
20241012	uuid:045ee2ec-2856-478f-9ec6-d637439fdf0a	1710	29110123	10	Yes	No	No	1			No	Never			1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Kakheti	Urban	2024-10-12T13:25:00.000+04:00	1	1	2024	10	12	2024/10/12	2024/10/12	2024/10/12	2024/10/12 18:02:39	2024/10/12 13:21:41	2024/10/12 14:41:31
20240927	uuid:0480b6fd-45f9-4d1f-92ed-059d6eca8316	1108	47280354	9	Yes	Yes	No			4	No	Every day	1 3 2 4 5		0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	Shida Kartli Region	Urban	2024-09-27T17:52:00.000+04:00	1	1	2024	9	27	2024/09/27	2024/09/27	2024/09/27	2024/09/27 23:09:42	2024/09/27 17:50:30	2024/09/27 18:45:17
20240914	uuid:04a44c90-7c92-4245-ae89-f731a47ba6cb	1403	15110731	6	Yes	Yes	Yes			4 1	Yes all of them	Every day	4 2		0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	Adjara	Urban	2024-09-14T14:19:00.000+04:00	0	0	2024	9	14	2024/09/14	2024/09/14	2024/09/14	2024/09/14 22:13:16	2024/09/14 14:12:19	2024/09/14 14:45:46
20240908	uuid:04a735d4-a7c4-4d94-86e6-951b080382ad	1428	23250314	12	Yes	Yes	Yes			1 4	No	Every day	2 4 8		0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	Guria	Urban	2024-09-08T15:59:00.000+04:00	1	1	2024	9	8	2024/09/08	2024/09/08	2024/09/08	2024/09/08 20:15:49	2024/09/08 15:57:58	2024/09/08 16:45:16
20240917	uuid:04da98c1-55b7-4686-8837-341286b21645	1513	38340141	13	Yes	No	Yes			4	Yes all of them	Every day	4 2		0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	Samegrelo-Zemo Svaneti	Rural	2024-09-17T17:51:00.000+04:00	0	0	2024	9	17	2024/09/17	2024/09/17	2024/09/17	2024/09/17 23:20:59	2024/09/17 17:45:30	2024/09/17 18:59:30
20240925	uuid:04e618ae-14bb-4e7f-adb1-ae8835aa0079	1141	47240862	3	Yes	No	No	7			No	Never			0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Shida Kartli Region	Rural	2024-09-25T14:16:00.000+04:00	0	0	2024	9	25	2024/09/25	2024/09/25	2024/09/25	2024/09/25 21:07:14	2024/09/25 14:12:31	2024/09/25 14:50:14
20241017	uuid:05adcbca-eab8-4475-99bf-94dc8fe7d2d4	1832	11250572	4	Yes	Yes	Yes			2 4	Yes, but not all of them	Every day	2 3 4 5 6		0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	Tbilisi	Urban	2024-10-17T14:34:00.000+04:00	2	2	2024	10	17	2024/10/17	2024/10/17	2024/10/17	2024/10/17 17:46:23	2024/10/17 14:28:59	2024/10/17 15:47:57
20240911	uuid:05b1bb09-b211-4ce0-8e7d-0d6befb8608d	1669	44260543	6	Yes	No	Yes			4	Yes, but not all of them	Every day	2 4		0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	Kvemo Kartli	Urban	2024-09-11T12:23:00.000+04:00	1	1	2024	9	11	2024/09/11	2024/09/11	2024/09/11	2024/09/11 21:37:21	2024/09/11 12:17:09	2024/09/11 13:36:14
20240831	uuid:05be8c2b-154e-4b18-86b9-6bcaea855eb4	1329	35290132	7	Yes	Yes	Yes			4	Yes all of them	Every day	4		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	Racha-Lechkhumi and Kvemo Svaneti	Urban	2024-08-31T13:11:00.000+04:00	1	1	2024	8	31	2024/08/31	2024/08/31	2024/08/31	2024/08/31 20:53:29	2024/08/31 13:02:13	2024/08/31 13:37:15
20241020	uuid:0657f83a-f354-49ac-a00c-b1f352248787	1794	29320165	3	Yes	Yes	Yes			4	Yes, but not all of them	Every day	2 4		0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	Kakheti	Rural	2024-10-20T16:30:00.000+04:00	1	1	2024	10	20	2024/10/20	2024/10/20	2024/10/20	2024/10/20 21:59:01	2024/10/20 16:28:35	2024/10/20 17:22:48
20240914	uuid:0688bd91-7764-4df2-90c6-5637dbffdb6c	1313	26380246	3	Yes	Yes	Yes			1 4	No	Every day	2 4		0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	Imereti	Urban	2024-09-14T12:56:00.000+04:00	1	1	2024	9	14	2024/09/14	2024/09/14	2024/09/14	2024/09/14 19:40:12	2024/09/14 12:52:52	2024/09/14 14:11:59
20240928	uuid:06b5ae6d-afd2-4a68-8076-5bf9450bcaed	1717	29300362	4	Yes	Yes	Yes			4	Yes, but not all of them	Every day	2 4 3		0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	Kakheti	Rural	2024-09-28T15:24:00.000+04:00	1	1	2024	9	28	2024/09/28	2024/09/28	2024/09/28	2024/09/28 16:11:49	2024/09/28 15:22:20	2024/09/28 16:02:53
20241002	uuid:06efa948-b688-480d-b088-7f63a2df9204	1141	47240864	7	Yes	No	Yes			4	Yes, but not all of them	Every day	2 3 4		0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	Shida Kartli Region	Rural	2024-10-02T17:09:00.000+04:00	0	0	2024	10	3	2024/10/03	2024/10/02	2024/10/02	2024/10/03 16:41:40	2024/10/02 17:05:58	2024/10/02 17:48:05
20241020	uuid:07698eb0-86bd-4924-b402-90d807f48799	1333	26290174	2	Yes	Yes	Yes			4	Yes, but not all of them	Every day	2 5 3 4		0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	Imereti	Urban	2024-10-20T14:04:00.000+04:00	0	0	2024	10	20	2024/10/20	2024/10/20	2024/10/20	2024/10/20 17:34:15	2024/10/20 14:00:48	2024/10/20 14:25:38
20240915	uuid:077e96b8-4780-413e-9c14-5e3bc0ed379a	1627	44110335	43	Yes	Yes	Yes			2 3 4	Yes, but not all of them	Every day	1 2 3 4 5 8		0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0	1	0	0	0	Kvemo Kartli	Urban	2024-09-15T14:39:00.000+04:00	2	2	2024	9	15	2024/09/15	2024/09/15	2024/09/15	2024/09/15 19:59:57	2024/09/15 14:36:10	2024/09/15 15:56:36
20241010	uuid:078449de-ac21-443d-90b6-99015b6ca199	1710	29110123	2	Yes	Yes	Yes			5 4 2	Yes, but not all of them	Every day	2 1 4 3 6 7		0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	Kakheti	Urban	2024-10-10T14:06:00.000+04:00	1	1	2024	10	10	2024/10/10	2024/10/10	2024/10/10	2024/10/10 17:06:47	2024/10/10 14:02:17	2024/10/10 15:29:14
20241014	uuid:07c51582-0df9-467a-a272-2b8f584e0fa0	1519	38140153	9	Yes	Yes	Yes			2 4 5	Yes, but not all of them	Every day	1 2 3 4 5 6		0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	Samegrelo-Zemo Svaneti	Urban	2024-10-14T13:18:00.000+04:00	2	2	2024	10	14	2024/10/14	2024/10/14	2024/10/14	2024/10/14 15:07:27	2024/10/14 13:11:52	2024/10/14 14:54:10
20240918	uuid:07e0154c-3ca1-4326-9f97-9cd76e8d4281	1511	38280135	13	Yes	Yes	No			4	No	Every day	2 3 4		0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	Samegrelo-Zemo Svaneti	Rural	2024-09-18T17:01:00.000+04:00	1	1	2024	9	18	2024/09/18	2024/09/18	2024/09/18	2024/09/19 01:40:19	2024/09/18 16:57:54	2024/09/18 18:23:10
20240908	uuid:07f16b6a-e5dd-4c17-b9d0-e0427c30974a	1324	26350244	12	Yes	No	No	3 7			No	Never			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Imereti	Rural	2024-09-08T17:09:00.000+04:00	1	1	2024	9	8	2024/09/08	2024/09/08	2024/09/08	2024/09/08 18:18:47	2024/09/08 17:07:35	2024/09/08 18:18:34
20240925	uuid:0812b6e7-1110-483c-b1ad-5454f7058546	1141	47240862	6	Yes	Yes	Yes			2 4	Yes all of them	Every day	4 2 1 3		0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	Shida Kartli Region	Rural	2024-09-25T16:55:00.000+04:00	1	1	2024	9	25	2024/09/25	2024/09/25	2024/09/25	2024/09/25 21:07:16	2024/09/25 16:53:17	2024/09/25 17:48:27
20241013	uuid:083e5854-76ad-464d-95d1-cdacdc14f84f	1107	47260263	4	Yes	Yes	Yes			4	Yes all of them	Every day	2 3 4 6		0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	Shida Kartli Region	Urban	2024-10-13T10:40:00.000+04:00	1	1	2024	10	13	2024/10/13	2024/10/13	2024/10/13	2024/10/13 11:41:13	2024/10/13 10:38:31	2024/10/13 11:40:42
20240927	uuid:085b8d72-54e8-4ac7-9f36-88c760b84060	1108	47280354	5	Yes	Yes	Yes			4 1	Yes, but not all of them	Every day	2 1 3 4		0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	Shida Kartli Region	Urban	2024-09-27T12:09:00.000+04:00	1	1	2024	9	27	2024/09/27	2024/09/27	2024/09/27	2024/09/27 23:09:39	2024/09/27 12:06:42	2024/09/27 13:04:07
20240901	uuid:08b345a0-1a2e-4574-abff-b9099d53074e	1320	35230135	7	Yes	No	No	5			No	Never			0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Racha-Lechkhumi and Kvemo Svaneti	Rural	2024-09-01T13:52:00.000+04:00	0	0	2024	9	1	2024/09/01	2024/09/01	2024/09/01	2024/09/01 19:46:25	2024/09/01 13:46:36	2024/09/01 14:23:20
20241005	uuid:093ad6cd-fba1-4c5a-88ba-1ece9d314d00	1219	41330465	4	Yes	Yes	Yes			4	Yes, but not all of them	Every day	2		0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	Samtskhe–Javakheti	Rural	2024-10-05T12:07:00.000+04:00	1	1	2024	10	5	2024/10/05	2024/10/05	2024/10/05	2024/10/05 13:26:58	2024/10/05 12:04:54	2024/10/05 13:26:46
20240924	uuid:093c694e-a7a3-42de-8ae0-7e6ed51a624f	1305	26110552	11	Yes	Yes	Yes			4 5	Yes, but not all of them	Every day	2 3 4 6		0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	Imereti	Urban	2024-09-24T18:17:00.000+04:00	1	1	2024	9	24	2024/09/24	2024/09/24	2024/09/24	2024/09/24 21:39:01	2024/09/24 18:15:16	2024/09/24 19:03:04
20241016	uuid:099ad874-2ade-4edb-b85b-b01df600954f	1136	47240955	10	Yes	Yes	Yes			4	Yes all of them	Every day	2 4		0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	Shida Kartli Region	Rural	2024-10-16T15:34:00.000+04:00	1	1	2024	10	16	2024/10/16	2024/10/16	2024/10/16	2024/10/16 16:18:11	2024/10/16 15:32:14	2024/10/16 16:17:58
20240921	uuid:09e50784-d8ca-4f8b-a460-cdfa3817e914	1501	38250855	11	Yes	Yes	Yes			4 2	Yes, but not all of them	Every day	4 3		0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	Samegrelo-Zemo Svaneti	Rural	2024-09-21T16:15:00.000+04:00	0	0	2024	9	21	2024/09/21	2024/09/21	2024/09/21	2024/09/21 20:24:43	2024/09/21 15:58:06	2024/09/21 17:44:01
20240929	uuid:09ff5c42-7a11-4b60-83f3-cb285d6ac878	1710	29110144	13	Yes	Yes	Yes			4 5	Yes, but not all of them	Every day	2 3 4 7		0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	0	0	Kakheti	Urban	2024-09-29T14:54:00.000+04:00	1	1	2024	9	29	2024/09/29	2024/09/29	2024/09/29	2024/09/29 20:23:08	2024/09/29 14:48:01	2024/09/29 16:24:24
20240907	uuid:0a0c3048-dd53-45b0-b797-9111c01bc037	1320	35290131	2	Yes	Yes	No			1 4	No	Every day	8 1 2 3		0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	Racha-Lechkhumi and Kvemo Svaneti	Urban	2024-09-07T12:47:00.000+04:00	1	1	2024	9	7	2024/09/07	2024/09/07	2024/09/07	2024/09/07 21:03:55	2024/09/07 12:38:02	2024/09/07 13:36:05
20241012	uuid:0a2e305d-4973-4919-80f6-cc3c34af273a	1113	47310252	7	Yes	Yes	Yes			4 2 5	Yes all of them	Every day	1 2 3 4 5 6 7		0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	Shida Kartli Region	Urban	2024-10-12T16:17:00.000+04:00	1	1	2024	10	12	2024/10/12	2024/10/12	2024/10/12	2024/10/12 19:05:20	2024/10/12 16:14:45	2024/10/12 17:02:12
20240917	uuid:0a4834f8-014c-4260-8d33-e89f9e76466b	1318	26270152	11	Yes	Yes	Yes			4	Yes, but not all of them	Every day	2 4 5		0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	Imereti	Urban	2024-09-17T16:58:00.000+04:00	1	1	2024	9	17	2024/09/17	2024/09/17	2024/09/17	2024/09/17 20:56:41	2024/09/17 16:55:08	2024/09/17 17:44:14
20240914	uuid:0a97a4b9-11fe-4b40-8814-1e9e79b1a98f	1627	44110335	38	Yes	Yes	Yes			2 4	Yes, but not all of them	Every day	1 2 3 4 5 6 7 8 10		0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	Kvemo Kartli	Urban	2024-09-14T18:21:00.000+04:00	1	1	2024	9	14	2024/09/14	2024/09/14	2024/09/14	2024/09/14 20:21:05	2024/09/14 18:17:52	2024/09/14 19:40:38
20241024	uuid:0aa22e93-6e3a-4179-a41b-3848cda0fbd9	1113	47310214	13	Yes	Yes	Yes			2	Yes, but not all of them	A few times a week	2 1 4		0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	Shida Kartli Region	Urban	2024-10-24T17:30:00.000+04:00	1	1	2024	10	24	2024/10/24	2024/10/24	2024/10/24	2024/10/24 18:35:42	2024/10/24 17:27:40	2024/10/24 18:30:36
20240917	uuid:0aaee0c0-6c5b-48f1-9ea4-f2af98931946	1513	38340141	10	Yes	Yes	Yes			3 2 4	No	Every day	2 4		0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	Samegrelo-Zemo Svaneti	Rural	2024-09-17T15:57:00.000+04:00	0	0	2024	9	17	2024/09/17	2024/09/17	2024/09/17	2024/09/17 23:20:58	2024/09/17 15:55:25	2024/09/17 17:17:22
20240919	uuid:0ad995fd-a4d7-4b99-8efa-f97f09f663ba	1501	38340256	12	Yes	No	Yes			4	Yes, but not all of them	Every day	4 3		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	Samegrelo-Zemo Svaneti	Rural	2024-09-19T14:33:00.000+04:00	0	0	2024	9	21	2024/09/21	2024/09/19	2024/09/19	2024/09/21 10:31:23	2024/09/19 14:27:11	2024/09/19 15:58:58
20241002	uuid:0ae45241-38f7-4909-947e-b5a3799bb4b1	1819	11330351	35	Yes	Yes	Yes			4 2	Yes, but not all of them	Every day	2 4 5 1		0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	Tbilisi	Urban	2024-10-02T14:47:00.000+04:00	1	1	2024	10	2	2024/10/02	2024/10/02	2024/10/02	2024/10/02 18:37:56	2024/10/02 14:45:14	2024/10/02 16:29:52
20240908	uuid:0afb6bb9-dac2-418f-afe2-0fe5a20478c1	1615	44280242	17	Yes	No	No	7			No	Never			0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Kvemo Kartli	Rural	2024-09-08T15:19:00.000+04:00	0	0	2024	9	8	2024/09/08	2024/09/08	2024/09/08	2024/09/08 22:42:06	2024/09/08 15:18:03	2024/09/08 15:47:32
20241020	uuid:0b0909d8-c844-4622-a8ba-68d01f00dd31	1742	29320165	4	Yes	Yes	Yes			4 5	Yes all of them	Every day	2 3 4 5 6		0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	Kakheti	Rural	2024-10-20T17:14:00.000+04:00	1	1	2024	10	20	2024/10/20	2024/10/20	2024/10/20	2024/10/20 22:08:49	2024/10/20 17:12:26	2024/10/20 18:05:00
20241021	uuid:0b7ba83e-cb22-4f78-a9fd-c31ea2b20317	1107	47260314	8	Yes	No	No	7			No	Never			0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Shida Kartli Region	Rural	2024-10-21T12:56:00.000+04:00	1	1	2024	10	21	2024/10/21	2024/10/21	2024/10/21	2024/10/21 13:30:01	2024/10/21 12:52:24	2024/10/21 13:29:28
20241024	uuid:0bcf83a2-c626-46b2-bdea-cbb2cc0d55b0	1113	47310214	11	Yes	Yes	Yes			4 2	Yes, but not all of them	Every day	2 3		0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	Shida Kartli Region	Urban	2024-10-24T15:21:00.000+04:00	1	1	2024	10	24	2024/10/24	2024/10/24	2024/10/24	2024/10/24 17:12:11	2024/10/24 15:18:14	2024/10/24 16:07:00
20240918	uuid:0bf2848b-2bc9-4213-b11e-947ba8e3815b	1305	26110613	15	Yes	Yes	Yes			3 4 5	Yes, but not all of them	Every day	2 3 4 5		0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	Imereti	Urban	2024-09-18T17:46:00.000+04:00	2	2	2024	9	18	2024/09/18	2024/09/18	2024/09/18	2024/09/18 23:51:41	2024/09/18 17:40:36	2024/09/18 18:36:23
